cell_id,topology,regime,scale,seed,edge_count,route_count,minimum_probability,probability_sum_error,minimum_normal_variance,cross_covariance_frobenius,scaled_drift_norm,scaled_drift_error,second_moment_error,covariance_identity_error,proxy_marginal_mean_error,proxy_marginal_covariance_error
chain-balanced-N10,chain,balanced,10,20260718000,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,1.167988668979369,8.967027109257956e-16,4.85722573273506e-16,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
chain-balanced-N20,chain,balanced,20,20260718001,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,1.167988668979369,1.793405421851591e-15,9.71445146547012e-16,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
chain-balanced-N40,chain,balanced,40,20260718002,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,1.167988668979369,3.586810843703182e-15,1.942890293094024e-15,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
chain-balanced-N80,chain,balanced,80,20260718003,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,1.167988668979369,7.173621687406365e-15,3.885780586188048e-15,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
chain-positive-N10,chain,positive,10,20260718010,4,72,0.012888888888888887,2.220446049250313e-16,0.22221822222222162,1.1679728774073947,0.05656854249492425,5.030698080332741e-16,6.661338147750939e-16,6.661338147750939e-16,2.706168622523819e-16,8.326672684688674e-16
chain-positive-N20,chain,positive,20,20260718011,4,72,0.013388888888888888,2.220446049250313e-16,0.22222122222222226,1.1679847210755694,0.05656854249492385,9.8879238130678e-16,6.106226635438361e-16,6.106226635438361e-16,2.706168622523819e-16,7.216449660063518e-16
chain-positive-N40,chain,positive,40,20260718012,4,72,0.013638888888888888,2.220446049250313e-16,0.22222197222222223,1.1679876820027437,0.05656854249492385,1.1102230246251565e-15,4.718447854656915e-16,4.718447854656915e-16,2.706168622523819e-16,3.885780586188048e-16
chain-positive-N80,chain,positive,80,20260718013,4,72,0.013763888888888888,2.220446049250313e-16,0.22222215972222165,1.1679884222351706,0.05656854249492856,6.678685382510707e-15,6.38378239159465e-16,6.38378239159465e-16,3.8163916471489756e-16,8.326672684688674e-16
chain-negative-N10,chain,negative,10,20260718020,4,72,0.012888888888888887,2.220446049250313e-16,0.22221822222222165,1.1679728774073945,0.056568542494923754,4.683753385137379e-16,6.38378239159465e-16,6.38378239159465e-16,2.706168622523819e-16,8.049116928532385e-16
chain-negative-N20,chain,negative,20,20260718021,4,72,0.013388888888888888,2.220446049250313e-16,0.2222212222222222,1.1679847210755692,0.056568542494924046,9.8879238130678e-16,1.0547118733938987e-15,1.0547118733938987e-15,2.706168622523819e-16,9.992007221626409e-16
chain-negative-N40,chain,negative,40,20260718022,4,72,0.013638888888888888,2.220446049250313e-16,0.22222197222222229,1.1679876820027437,0.05656854249492267,2.203098814490545e-15,4.163336342344337e-16,4.163336342344337e-16,2.220446049250313e-16,2.7755575615628914e-16
chain-negative-N80,chain,negative,80,20260718023,4,72,0.013763888888888888,2.220446049250313e-16,0.22222215972222173,1.16798842223517,0.05656854249492542,2.237793284010081e-15,5.551115123125783e-16,5.551115123125783e-16,2.706168622523819e-16,7.494005416219807e-16
star-balanced-N10,star,balanced,10,20260718100,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.4082482904638631,7.177647665660286e-16,4.85722573273506e-16,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
star-balanced-N20,star,balanced,20,20260718101,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.4082482904638631,1.4355295331320572e-15,9.71445146547012e-16,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
star-balanced-N40,star,balanced,40,20260718102,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.4082482904638631,2.8710590662641144e-15,1.942890293094024e-15,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
star-balanced-N80,star,balanced,80,20260718103,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.4082482904638631,5.742118132528229e-15,3.885780586188048e-15,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
star-positive-N10,star,positive,10,20260718110,4,72,0.012888888888888887,2.220446049250313e-16,0.2222182222222217,0.40824584104515593,0.04000000000000007,4.85722573273506e-16,5.828670879282072e-16,5.828670879282072e-16,2.706168622523819e-16,5.551115123125783e-16
star-positive-N20,star,positive,20,20260718111,4,72,0.013388888888888888,2.220446049250313e-16,0.2222212222222226,0.408247678095867,0.040000000000000105,9.71445146547012e-16,7.216449660063518e-16,7.216449660063518e-16,2.706168622523819e-16,8.881784197001252e-16
star-positive-N40,star,positive,40,20260718112,4,72,0.013638888888888888,2.220446049250313e-16,0.2222219722222226,0.40824813737103155,0.040000000000000174,1.942890293094024e-15,3.885780586188048e-16,3.885780586188048e-16,2.706168622523819e-16,3.885780586188048e-16
star-positive-N80,star,positive,80,20260718113,4,72,0.013763888888888888,2.220446049250313e-16,0.22222215972222176,0.4082482521906031,0.04000000000000031,3.885780586188048e-15,5.273559366969494e-16,5.273559366969494e-16,3.5388358909926865e-16,4.996003610813204e-16
star-negative-N10,star,negative,10,20260718120,4,72,0.012888888888888887,2.220446049250313e-16,0.22221822222222165,0.40824584104515593,0.04,4.85722573273506e-16,6.38378239159465e-16,6.38378239159465e-16,2.706168622523819e-16,6.106226635438361e-16
star-negative-N20,star,negative,20,20260718121,4,72,0.013388888888888888,2.220446049250313e-16,0.22222122222222263,0.40824767809586704,0.039999999999999966,9.71445146547012e-16,9.992007221626409e-16,9.992007221626409e-16,2.706168622523819e-16,1.1657341758564144e-15
star-negative-N40,star,negative,40,20260718122,4,72,0.013638888888888888,2.220446049250313e-16,0.2222219722222225,0.4082481373710316,0.0399999999999999,1.942890293094024e-15,4.163336342344337e-16,4.163336342344337e-16,2.706168622523819e-16,4.163336342344337e-16
star-negative-N80,star,negative,80,20260718123,4,72,0.013763888888888888,2.220446049250313e-16,0.22222215972222173,0.4082482521906031,0.03999999999999976,3.885780586188048e-15,5.551115123125783e-16,5.551115123125783e-16,3.469446951953614e-16,4.996003610813204e-16
random-balanced-N10,random,balanced,10,20260718200,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.9128709291752771,8.722054391214023e-16,4.85722573273506e-16,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
random-balanced-N20,random,balanced,20,20260718201,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.9128709291752771,1.7444108782428046e-15,9.71445146547012e-16,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
random-balanced-N40,random,balanced,40,20260718202,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.9128709291752771,3.488821756485609e-15,1.942890293094024e-15,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
random-balanced-N80,random,balanced,80,20260718203,4,72,0.013888888888888888,2.220446049250313e-16,0.2222222222222223,0.9128709291752771,6.977643512971218e-15,3.885780586188048e-15,0.0,0.0,2.706168622523819e-16,2.220446049250313e-16
random-positive-N10,random,positive,10,20260718210,4,72,0.012888888888888887,2.220446049250313e-16,0.22221822222222162,0.9128632611324291,0.048989794855663696,4.85722573273506e-16,6.661338147750939e-16,6.661338147750939e-16,2.706168622523819e-16,8.326672684688674e-16
random-positive-N20,random,positive,20,20260718211,4,72,0.013388888888888888,2.220446049250313e-16,0.22222122222222246,0.9128690121508855,0.04898979485566332,9.71445146547012e-16,6.106226635438361e-16,6.106226635438361e-16,2.706168622523819e-16,7.216449660063518e-16
random-positive-N40,random,positive,40,20260718212,4,72,0.013638888888888888,2.220446049250313e-16,0.22222197222222245,0.9128704499183242,0.048989794855663044,1.942890293094024e-15,4.718447854656915e-16,4.718447854656915e-16,2.706168622523819e-16,4.440892098500626e-16
random-positive-N80,random,positive,80,20260718213,4,72,0.013763888888888888,2.220446049250313e-16,0.22222215972222167,0.9128708093609854,0.048989794855665195,5.568462357885551e-15,6.106226635438361e-16,6.106226635438361e-16,3.469446951953614e-16,8.049116928532385e-16
random-negative-N10,random,negative,10,20260718220,4,72,0.012888888888888887,2.220446049250313e-16,0.22221822222222165,0.912863261132429,0.048989794855663744,4.85722573273506e-16,6.38378239159465e-16,6.38378239159465e-16,2.706168622523819e-16,8.049116928532385e-16
random-negative-N20,random,negative,20,20260718221,4,72,0.013388888888888888,2.220446049250313e-16,0.22222122222222243,0.9128690121508855,0.04898979485566389,9.71445146547012e-16,1.0547118733938987e-15,1.0547118733938987e-15,2.706168622523819e-16,8.326672684688674e-16
random-negative-N40,random,negative,40,20260718222,4,72,0.013638888888888888,2.220446049250313e-16,0.22222197222222248,0.9128704499183242,0.04898979485566372,1.942890293094024e-15,3.885780586188048e-16,3.885780586188048e-16,2.706168622523819e-16,2.220446049250313e-16
random-negative-N80,random,negative,80,20260718223,4,72,0.013763888888888888,2.220446049250313e-16,0.22222215972222173,0.9128708093609853,0.04898979485566474,3.885780586188048e-15,5.551115123125783e-16,5.551115123125783e-16,2.706168622523819e-16,7.494005416219807e-16
